{'codigo': '2', 'nome': 'Jorge', 'idade': '30', 'sexo': 'm', 'e-mail': 'dimmu.dayan@gmail.com', 'telefone': '048984594785'}
{'codigo': '388', 'nome': 'Samanta', 'idade': '32', 'sexo': 'm', 'e-mail': 'mikko_lanuit@hotmail.com', 'telefone': '019953530135'}
{'codigo': '390', 'nome': 'Ismael', 'idade': '37', 'sexo': 'm', 'e-mail': 'palhaco.goiabada@hotmail.com', 'telefone': '039963782439'}
{'codigo': '391', 'nome': 'Sebastian', 'idade': '16', 'sexo': 'm', 'e-mail': 'adrielly@yaroo.com', 'telefone': '036987332602'}
{'codigo': '392', 'nome': 'Marcelo', 'idade': '48', 'sexo': 'm', 'e-mail': 'wander_siqueira08@hotmail.com', 'telefone': '047964650606'}
{'codigo': '393', 'nome': 'Ary', 'idade': '24', 'sexo': 'm', 'e-mail': 'neo@oucaneo.com', 'telefone': '046970007638'}
{'codigo': '394', 'nome': 'Uriel Valderez', 'idade': '49', 'sexo': 'm', 'e-mail': 'renanmon@gmail.com', 'telefone': '019953134402'}
{'codigo': '395', 'nome': 'Leila', 'idade': '44', 'sexo': 'm', 'e-mail': 'dayaneeeblza@hotmail.com', 'telefone': '043932306191'}
{'codigo': '396', 'nome': 'Marise', 'idade': '47', 'sexo': 'm', 'e-mail': 'geforcex@hotmail.com', 'telefone': '017963322386'}
{'codigo': '397', 'nome': 'Zarifa', 'idade': '41', 'sexo': 'm', 'e-mail': 'namoradinha.floripa@yahoo.com.br', 'telefone': '018965436107'}
{'codigo': '398', 'nome': 'Egle', 'idade': '39', 'sexo': 'm', 'e-mail': 'depuydt@pandora.be', 'telefone': '049992048333'}
{'codigo': '401', 'nome': 'Renata', 'idade': '16', 'sexo': 'm', 'e-mail': 'pytyca_nayara@hotmail.com', 'telefone': '036925642869'}
{'codigo': '403', 'nome': 'Izilda Ibrahim', 'idade': '45', 'sexo': 'm', 'e-mail': 'Anna_criistina@hotmail.com', 'telefone': '043965399591'}
{'codigo': '404', 'nome': 'Atanasio', 'idade': '27', 'sexo': 'm', 'e-mail': 'chayagv@hotmail.com', 'telefone': '052925905677'}
{'codigo': '405', 'nome': 'Alessio', 'idade': '38', 'sexo': 'm', 'e-mail': 'tacylla-takemura@hotmail.com', 'telefone': '012938960655'}
{'codigo': '407', 'nome': 'Suzana', 'idade': '40', 'sexo': 'm', 'e-mail': 'perolaprincesa@gmail.com', 'telefone': '019991279381'}
{'codigo': '408', 'nome': 'Manoel', 'idade': '38', 'sexo': 'm', 'e-mail': 'randall_cj@hotmail.com', 'telefone': '025964051749'}
{'codigo': '410', 'nome': 'Evangelina', 'idade': '34', 'sexo': 'm', 'e-mail': 'guinhossouza@hotmail.com', 'telefone': '016993883027'}
{'codigo': '411', 'nome': 'Mauricio', 'idade': '26', 'sexo': 'm', 'e-mail': 'kallynegomes@bol.com.br', 'telefone': '049959990420'}
{'codigo': '412', 'nome': 'Herbert', 'idade': '40', 'sexo': 'm', 'e-mail': 'LORRAINE_GV@HOTMAIL.COM', 'telefone': '054975767156'}
{'codigo': '413', 'nome': 'Luciano', 'idade': '21', 'sexo': 'm', 'e-mail': 'cubataoadd@hotmail.com', 'telefone': '015957677097'}
{'codigo': '414', 'nome': 'Cristiano', 'idade': '39', 'sexo': 'm', 'e-mail': 'kellenguma@hotmail.com', 'telefone': '052924989756'}
{'codigo': '423', 'nome': 'Mircia', 'idade': '30', 'sexo': 'm', 'e-mail': 'nayarafp_87@yahoo.com.br', 'telefone': '047946594902'}
{'codigo': '427', 'nome': 'Pedrina', 'idade': '33', 'sexo': 'm', 'e-mail': 'robariri@ig.com.br', 'telefone': '035961379075'}
{'codigo': '428', 'nome': 'Miriam', 'idade': '22', 'sexo': 'm', 'e-mail': 'pierre-g14@hotmail.com', 'telefone': '038922863114'}
{'codigo': '431', 'nome': 'Alécya', 'idade': '30', 'sexo': 'm', 'e-mail': 'cella_hilton@yahoo.com.br', 'telefone': '016947237492'}
{'codigo': '432', 'nome': 'Adolfo', 'idade': '50', 'sexo': 'm', 'e-mail': 'adri_barboza@hotmail.com', 'telefone': '018908425396'}
{'codigo': '439', 'nome': 'Karina', 'idade': '18', 'sexo': 'm', 'e-mail': 'IDALINADEALMEIDA@YAHOO.COM.BR', 'telefone': '043915937111'}
{'codigo': '440', 'nome': 'Anselmo', 'idade': '22', 'sexo': 'm', 'e-mail': 'fernandotravisani@bol.com.br', 'telefone': '032962870489'}
{'codigo': '441', 'nome': 'Vivaldo', 'idade': '40', 'sexo': 'm', 'e-mail': 'loyrynhah14@gmail.com', 'telefone': '038941195763'}
{'codigo': '442', 'nome': 'Euzebio', 'idade': '49', 'sexo': 'm', 'e-mail': 'loes_gata@yahoo.com.br', 'telefone': '037972625626'}
{'codigo': '446', 'nome': 'Samira', 'idade': '27', 'sexo': 'm', 'e-mail': 'drion_black@yahoo.com.br', 'telefone': '012950377417'}
{'codigo': '455', 'nome': 'Marina', 'idade': '27', 'sexo': 'm', 'e-mail': 'allan_17_1309@hotmail.com', 'telefone': '057976796723'}
{'codigo': '456', 'nome': 'Adeilce Silva', 'idade': '23', 'sexo': 'm', 'e-mail': 'shalfronfelruz@hotmail.com', 'telefone': '011907368085'}
{'codigo': '461', 'nome': 'Ingrid', 'idade': '28', 'sexo': 'm', 'e-mail': 'billy@oi.com.br', 'telefone': '058918089150'}
{'codigo': '462', 'nome': 'Jair', 'idade': '48', 'sexo': 'm', 'e-mail': 'marcusmg_@hotmail.com', 'telefone': '023994462595'}
{'codigo': '463', 'nome': 'Otavio', 'idade': '18', 'sexo': 'm', 'e-mail': 'gabriella_166@hotmail.com', 'telefone': '056920400882'}
{'codigo': '464', 'nome': 'Walter', 'idade': '50', 'sexo': 'm', 'e-mail': 'becaspears@yahoo.com.br', 'telefone': '015955145453'}
{'codigo': '465', 'nome': 'Luciene', 'idade': '36', 'sexo': 'm', 'e-mail': 'jessica-camila@uol.com.br', 'telefone': '039957230592'}
{'codigo': '466', 'nome': 'Milton', 'idade': '25', 'sexo': 'm', 'e-mail': 'jamaljamaica@hotmail.com', 'telefone': '036915062147'}
{'codigo': '468', 'nome': 'Giovana', 'idade': '50', 'sexo': 'm', 'e-mail': 'pareguisso@hotmail.com', 'telefone': '056997552140'}
{'codigo': '470', 'nome': 'Odilson', 'idade': '40', 'sexo': 'm', 'e-mail': 'pds.eduardo@gmail.com', 'telefone': '014986756723'}
{'codigo': '471', 'nome': 'Ubirajara', 'idade': '48', 'sexo': 'm', 'e-mail': 'brunnodorosa@hotmail.com', 'telefone': '029946080392'}
{'codigo': '472', 'nome': 'Yose Yago', 'idade': '22', 'sexo': 'm', 'e-mail': 'vigilantevirtual7@gmail.com', 'telefone': '019978098917'}
{'codigo': '475', 'nome': 'Clovis', 'idade': '17', 'sexo': 'm', 'e-mail': 'paulo_skim_red@hotmail.com', 'telefone': '039921237801'}
{'codigo': '477', 'nome': 'Gianfranco', 'idade': '47', 'sexo': 'm', 'e-mail': 'programadorardamax@hotmail.com', 'telefone': '035955256942'}
{'codigo': '479', 'nome': 'Cleber', 'idade': '16', 'sexo': 'm', 'e-mail': 'renan_godoy13@hotmail.com', 'telefone': '025905277376'}
{'codigo': '481', 'nome': 'Zeus', 'idade': '41', 'sexo': 'm', 'e-mail': 'zettifake@gmail.com', 'telefone': '018931319176'}
{'codigo': '483', 'nome': 'Bartira', 'idade': '41', 'sexo': 'm', 'e-mail': 'ingrid_amoras@hotmail.com', 'telefone': '047984381201'}
{'codigo': '485', 'nome': 'Marisa', 'idade': '34', 'sexo': 'm', 'e-mail': 'maressa_nb@hotmail.com', 'telefone': '037964940589'}
{'codigo': '490', 'nome': 'Eugenia', 'idade': '45', 'sexo': 'm', 'e-mail': 'www.mar18@hotmail.com', 'telefone': '025902083427'}
{'codigo': '491', 'nome': 'Ilce', 'idade': '44', 'sexo': 'm', 'e-mail': 'pedroewerton@uol.com.br', 'telefone': '041975074134'}
{'codigo': '492', 'nome': 'João', 'idade': '18', 'sexo': 'm', 'e-mail': 'camilalealmsn@gmail.com', 'telefone': '052998451866'}
{'codigo': '493', 'nome': 'Feliciano', 'idade': '44', 'sexo': 'm', 'e-mail': 'adryana_maia@hotmail.com', 'telefone': '041916966846'}
{'codigo': '495', 'nome': 'Geny', 'idade': '37', 'sexo': 'm', 'e-mail': 'dudaresmini@hotmail.com', 'telefone': '051976244589'}
{'codigo': '497', 'nome': 'Isaias', 'idade': '45', 'sexo': 'm', 'e-mail': 'houger@gmail.com', 'telefone': '029924678005'}
{'codigo': '498', 'nome': 'Lorena', 'idade': '36', 'sexo': 'm', 'e-mail': 'guga_76ers@hotmail.com', 'telefone': '022950729131'}
{'codigo': '499', 'nome': 'Zulmira', 'idade': '48', 'sexo': 'm', 'e-mail': 'andrebits@bol.com.br', 'telefone': '011924111295'}
